dataset,case_id,knn_k1,knn_k5,knn_k10
totalseg,s0065,0.011762812733650208,0.013215715065598488,0.014576482586562634
totalseg,s0066,0.011853610165417194,0.013462502509355545,0.014939505606889725
totalseg,s0070,0.012228657491505146,0.013024034909904003,0.014352167956531048
totalseg,s0071,0.007482698652893305,0.009219263680279255,0.010452723130583763
totalseg,s0072,0.007964563556015491,0.008758255280554295,0.009777430444955826
totalseg,s0073,0.01285549160093069,0.014562014490365982,0.015540823340415955
totalseg,s0074,0.018158145248889923,0.020208081230521202,0.021187787875533104
totalseg,s0075,0.008475707843899727,0.010277331806719303,0.012440548278391361
totalseg,s0077,0.010210376232862473,0.01206226460635662,0.012989972718060017
totalseg,s0078,0.009452210739254951,0.009979471564292908,0.010644979774951935
totalseg,s0082,0.009789826348423958,0.01138158980756998,0.01330494973808527
totalseg,s0086,0.012950051575899124,0.019508181139826775,0.022347785532474518
totalseg,s0088,0.025746623054146767,0.027535509318113327,0.02808297611773014
totalseg,s0089,0.013015855103731155,0.014723707921802998,0.01604337990283966
totalseg,s0090,0.019276022911071777,0.026916969567537308,0.027832120656967163
totalseg,s0091,0.007314866874366999,0.00900154747068882,0.010167471133172512
totalseg,s0092,0.017835309728980064,0.018573954701423645,0.019428854808211327
totalseg,s0096,0.009505332447588444,0.01039285957813263,0.011565621010959148
totalseg,s0098,0.017839202657341957,0.01872001588344574,0.01884409971535206
totalseg,s0103,0.03931127488613129,0.04763924330472946,0.04812867194414139
totalseg,s0104,0.011703687720000744,0.013706762343645096,0.014832906424999237
totalseg,s0106,0.019164208322763443,0.02052399329841137,0.022172899916768074
totalseg,s0107,0.012274348177015781,0.017045093700289726,0.020063674077391624
totalseg,s0108,0.008778639137744904,0.010493910871446133,0.011086395010352135
totalseg,s0109,0.008547324687242508,0.009343978017568588,0.009887812659144402
totalseg,s0117,0.018923066556453705,0.01988387107849121,0.0213043000549078
totalseg,s0119,0.008778470568358898,0.00964324176311493,0.010537452064454556
totalseg,s0120,0.008669933304190636,0.0093050142750144,0.01035761646926403
totalseg,s0123,0.01603606529533863,0.018301524221897125,0.019104691222310066
totalseg,s0124,0.007898717187345028,0.010000581853091717,0.011358610354363918
totalseg,s0131,0.014137431047856808,0.015327292494475842,0.01619703695178032
totalseg,s0132,0.09498924016952515,0.10304603725671768,0.10490156710147858
totalseg,s0133,0.009909986518323421,0.011113854125142097,0.012069371528923512
totalseg,s0137,0.00901857577264309,0.010172807611525059,0.010818526148796082
totalseg,s0139,0.009747444652020931,0.010274691507220268,0.010854020714759827
totalseg,s0141,0.007268494926393032,0.009787035174667835,0.010526205413043499
totalseg,s0143,0.015582862310111523,0.017029432579874992,0.018041495233774185
totalseg,s0145,0.012056531384587288,0.01465448085218668,0.01512669026851654
totalseg,s0146,0.012538927607238293,0.015659738332033157,0.016568979248404503
totalseg,s0151,0.013029626570641994,0.015203507617115974,0.015915125608444214
totalseg,s0153,0.014607857912778854,0.015668053179979324,0.016585923731327057
totalseg,s0156,0.02026446722447872,0.021603958681225777,0.02192271687090397
totalseg,s0157,0.010390016250312328,0.01147435698658228,0.013596349395811558
totalseg,s0158,0.013331111520528793,0.014124663546681404,0.014406541362404823
totalseg,s0160,0.022590691223740578,0.02411622554063797,0.025705179199576378
totalseg,s0161,0.013581176288425922,0.015103515237569809,0.016035735607147217
totalseg,s0162,0.012077685445547104,0.013362712226808071,0.015561019070446491
totalseg,s0163,0.007141925860196352,0.009195251390337944,0.010175181552767754
totalseg,s0166,0.008165266364812851,0.009436770342290401,0.010332725942134857
totalseg,s0171,0.010787486098706722,0.01225991453975439,0.013570178300142288
totalseg,s0174,0.01868738792836666,0.020245296880602837,0.02111862599849701
totalseg,s0175,0.013393335975706577,0.014274799264967442,0.015289783477783203
totalseg,s0178,0.008828142657876015,0.009903904981911182,0.010775849223136902
totalseg,s0182,0.015678219497203827,0.01683177426457405,0.017327046021819115
totalseg,s0187,0.040487777441740036,0.04762889817357063,0.048226431012153625
totalseg,s0188,0.00900940876454115,0.009971140883862972,0.010742985643446445
totalseg,s0190,0.009926440194249153,0.011232496239244938,0.012029331177473068
totalseg,s0192,0.015406646765768528,0.0166793130338192,0.017692087218165398
totalseg,s0193,0.012996893376111984,0.015217666514217854,0.01604127138853073
totalseg,s0196,0.008210371248424053,0.009551605209708214,0.010168070904910564
totalseg,s0199,0.0533033162355423,0.05956496670842171,0.06097349524497986
totalseg,s0201,0.012348962016403675,0.015493165701627731,0.017378339543938637
totalseg,s0204,0.009834175929427147,0.010799187235534191,0.012304460629820824
totalseg,s0210,0.011954028159379959,0.013691737316548824,0.014799597673118114
totalseg,s0211,0.09381372481584549,0.10228759050369263,0.10365942120552063
totalseg,s0216,0.007836991921067238,0.008978110738098621,0.009951644577085972
totalseg,s0218,0.008967272005975246,0.010623025707900524,0.011423947289586067
totalseg,s0222,0.012401859275996685,0.013678908348083496,0.015350131317973137
totalseg,s0224,0.007911714725196362,0.008966329507529736,0.01101839728653431
totalseg,s0227,0.008332140743732452,0.009126433171331882,0.009763755835592747
totalseg,s0228,0.008615592494606972,0.009172191843390465,0.010482032783329487
totalseg,s0235,0.015836095437407494,0.017895126715302467,0.018729254603385925
totalseg,s0236,0.014160946011543274,0.01514893863350153,0.01684652268886566
totalseg,s0237,0.15683087706565857,0.16542792320251465,0.16768915951251984
totalseg,s0238,0.01808023825287819,0.019405489787459373,0.019951442256569862
totalseg,s0239,0.008222417905926704,0.009055912494659424,0.010152045637369156
totalseg,s0241,0.013372267596423626,0.014943001791834831,0.016534777358174324
totalseg,s0242,0.014076375402510166,0.015299329534173012,0.01710195280611515
totalseg,s0243,0.009294142946600914,0.010908087715506554,0.011514261364936829
totalseg,s0244,0.00904642604291439,0.01018441841006279,0.01119627058506012
totalseg,s0245,0.019603414461016655,0.02086312137544155,0.021601105108857155
totalseg,s0246,0.029027769342064857,0.031042268499732018,0.03198020160198212
totalseg,s0247,0.03263893350958824,0.03726612776517868,0.03789486363530159
totalseg,s0248,0.00847067590802908,0.009378062561154366,0.01034502126276493
totalseg,s0249,0.04204079508781433,0.04577001556754112,0.047148510813713074
totalseg,s0250,0.009706968441605568,0.010501465760171413,0.01116776280105114
totalseg,s0252,0.015548179857432842,0.017401723191142082,0.018055593594908714
totalseg,s0255,0.008690664544701576,0.009493738412857056,0.009948845952749252
totalseg,s0257,0.013523772358894348,0.014515320770442486,0.014848978258669376
totalseg,s0258,0.012550859712064266,0.013692171312868595,0.014959020540118217
totalseg,s0260,0.013706094585359097,0.020681165158748627,0.02315213717520237
totalseg,s0262,0.028805231675505638,0.030557887628674507,0.03162635490298271
totalseg,s0275,0.011118433438241482,0.012075833044946194,0.012797020375728607
totalseg,s0285,0.008602804504334927,0.010995396412909031,0.01160448044538498
totalseg,s0286,0.01101131085306406,0.012424319982528687,0.01441549975425005
totalseg,s0287,0.007783455308526754,0.012940630316734314,0.015104012563824654
totalseg,s0291,0.011491210199892521,0.011860824190080166,0.01302671991288662
totalseg,s0298,0.010938921943306923,0.011220429092645645,0.01200308557599783
totalseg,s0300,0.010085086338222027,0.011537585407495499,0.012581836432218552
totalseg,s0301,0.01785510778427124,0.019386352971196175,0.020749548450112343
totalseg,s0304,0.014650220051407814,0.01595437154173851,0.016743479296565056
totalseg,s0305,0.02060801535844803,0.021831436082720757,0.022548777982592583
totalseg,s0306,0.015474445186555386,0.01604381389915943,0.01818746328353882
totalseg,s0307,0.011246409267187119,0.013785029761493206,0.014849483966827393
totalseg,s0308,0.014093233272433281,0.015173348598182201,0.015895429998636246
totalseg,s0311,0.014705950394272804,0.015645736828446388,0.017136499285697937
totalseg,s0314,0.010590587742626667,0.012889465317130089,0.013617522083222866
totalseg,s0319,0.010783328674733639,0.01205600704997778,0.013016708195209503
totalseg,s0320,0.008093759417533875,0.009478664956986904,0.010060103610157967
totalseg,s0321,0.01798664778470993,0.019818171858787537,0.021286729723215103
totalseg,s0322,0.008537516929209232,0.00982188805937767,0.010190948843955994
totalseg,s0324,0.015507940202951431,0.017056075856089592,0.019154686480760574
totalseg,s0325,0.010052534751594067,0.012476197443902493,0.012799927033483982
totalseg,s0327,0.013422345742583275,0.015263529494404793,0.016146931797266006
totalseg,s0328,0.010129300877451897,0.010877258144319057,0.011470692232251167
totalseg,s0329,0.009045504033565521,0.01049766130745411,0.012199459597468376
totalseg,s0332,0.008592494763433933,0.009716822765767574,0.010908409021794796
totalseg,s0334,0.007877927273511887,0.009044704958796501,0.009527367539703846
totalseg,s0336,0.02171076461672783,0.023207686841487885,0.02455461584031582
totalseg,s0344,0.009073634631931782,0.010553550906479359,0.01171849761158228
totalseg,s0347,0.026032783091068268,0.027462640777230263,0.028793247416615486
totalseg,s0350,0.010283652693033218,0.011200031265616417,0.011937365867197514
totalseg,s0358,0.0077157337218523026,0.008430629968643188,0.010351216420531273
totalseg,s0361,0.009392744861543179,0.010438711382448673,0.011101038195192814
totalseg,s0362,0.007819483056664467,0.008660491555929184,0.00913576502352953
totalseg,s0367,0.020070381462574005,0.02136257477104664,0.022563792765140533
totalseg,s0369,0.008995717391371727,0.009815702214837074,0.011593131348490715
