dataset,case_id,knn_k1,knn_k5,knn_k10
amos,amos_0069,0.008416605181992054,0.00945349968969822,0.010016041807830334
amos,amos_0070,0.012664638459682465,0.013947920873761177,0.014869848266243935
amos,amos_0071,0.00638810358941555,0.007933185435831547,0.008595604449510574
amos,amos_0072,0.01087808609008789,0.01417322363704443,0.015717988833785057
amos,amos_0073,0.009111878462135792,0.009733736515045166,0.010524740442633629
amos,amos_0075,0.0068152910098433495,0.008808410726487637,0.009473085403442383
amos,amos_0076,0.01121782511472702,0.01185282226651907,0.013485637493431568
amos,amos_0077,0.013221468776464462,0.019505031406879425,0.02075383998453617
amos,amos_0078,0.009078659117221832,0.011508755385875702,0.011986919678747654
amos,amos_0079,0.00845737848430872,0.010178107768297195,0.0121341273188591
amos,amos_0081,0.00957922637462616,0.011633146554231644,0.012551659718155861
amos,amos_0083,0.00789138674736023,0.009419227950274944,0.010001090355217457
amos,amos_0084,0.010868259705603123,0.012571627274155617,0.013205989263951778
amos,amos_0085,0.008449145592749119,0.009684046730399132,0.010892479680478573
amos,amos_0086,0.006923805456608534,0.008076952770352364,0.009143970906734467
amos,amos_0087,0.009594405069947243,0.010738007724285126,0.011488016694784164
amos,amos_0088,0.008868558332324028,0.00994451530277729,0.010873009450733662
amos,amos_0089,0.005629986058920622,0.00998017843812704,0.011879714205861092
amos,amos_0090,0.00872630812227726,0.013469758443534374,0.015053030103445053
amos,amos_0092,0.007441090419888496,0.008501662872731686,0.009442636743187904
amos,amos_0094,0.008183634839951992,0.009800499305129051,0.010808412916958332
amos,amos_0097,0.01751060225069523,0.024819426238536835,0.027073122560977936
amos,amos_0098,0.0088226068764925,0.010511201806366444,0.011066820472478867
amos,amos_0099,0.01461518369615078,0.016810163855552673,0.019391708076000214
amos,amos_0102,0.010842019692063332,0.017382672056555748,0.01901959255337715
amos,amos_0103,0.010159547440707684,0.011539289727807045,0.013042115606367588
amos,amos_0104,0.01047818548977375,0.012049121782183647,0.013216802850365639
amos,amos_0105,0.01032639667391777,0.011024338193237782,0.012802483513951302
amos,amos_0106,0.014489397406578064,0.02120506577193737,0.02304813265800476
amos,amos_0108,0.009310687892138958,0.009872698225080967,0.010700567625463009
amos,amos_0109,0.01227934006601572,0.0190467219799757,0.020612837746739388
amos,amos_0110,0.007283173035830259,0.008574945852160454,0.009758195839822292
