case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
amos_0195,0.902233,0.901955,0.876323,0.931763,190,23,0.848989,47.5624
amos_0196,0.626570,0.620700,0.477653,0.778997,190,23,0.531724,52.8121
amos_0197,0.896075,0.899071,0.842415,0.920739,190,23,0.858879,136.4133
amos_0198,0.202351,0.182024,0.070892,0.859108,190,23,0.504528,80.8671
amos_0199,0.176045,0.161250,0.038099,0.551322,190,23,0.547067,108.5300
amos_0200,0.871852,0.872132,0.847734,0.902404,190,23,0.831144,45.0006
amos_0202,0.039842,0.000000,0.000000,0.325054,190,23,0.065388,110.0515
amos_0203,0.820510,0.823878,0.721658,0.921464,190,23,0.763037,76.8434
amos_0204,0.401570,0.403684,0.213003,0.581625,190,23,0.740914,200.3055
amos_0206,0.915838,0.916298,0.889579,0.936898,190,23,0.856938,218.0145
amos_0207,0.163222,0.157841,0.018810,0.379024,190,23,0.506971,101.2133
amos_0208,0.249037,0.253515,0.090618,0.470393,190,23,0.721506,122.2393
amos_0212,0.095722,0.087264,0.000000,0.371429,190,23,0.282014,252.6318
amos_0214,0.912725,0.912205,0.886701,0.948781,190,23,0.856753,51.7867
amos_0215,0.801429,0.805287,0.647928,0.893626,190,23,0.759109,163.1770
amos_0216,0.875086,0.896872,0.719421,0.942293,190,23,0.819398,182.3916
amos_0217,0.918937,0.919628,0.890777,0.939932,190,23,0.871810,74.2232
amos_0218,0.166761,0.148175,0.011988,0.581679,190,23,0.589444,87.7076
amos_0219,0.354731,0.353266,0.174639,0.612961,190,22,0.516832,156.7505
amos_0223,0.896328,0.909321,0.835272,0.944989,190,23,0.731138,158.0693
amos_0224,0.779327,0.779482,0.689519,0.866696,190,23,0.719067,120.9394
amos_0225,0.641123,0.638525,0.529168,0.813700,190,23,0.689398,227.1991
amos_0226,0.916792,0.917875,0.889128,0.937903,190,23,0.869875,233.9634
amos_0228,0.906243,0.908540,0.868858,0.935129,190,23,0.872450,182.2438
amos_0230,0.153306,0.141229,0.000000,0.423292,190,23,0.591698,196.1896
amos_0231,0.238271,0.221877,0.058712,0.610377,190,22,0.376682,97.3505
amos_0233,0.915397,0.916156,0.885991,0.938755,190,23,0.832272,112.3163
amos_0235,0.820105,0.823931,0.705864,0.914042,190,23,0.691666,146.8453
amos_0237,0.911253,0.910902,0.891025,0.935596,190,23,0.867290,216.9603
amos_0238,0.318353,0.319051,0.172040,0.567355,190,23,0.633727,100.1539
amos_0239,0.884159,0.884991,0.849561,0.913375,190,23,0.833056,146.5329
amos_0242,0.812033,0.812285,0.689698,0.907544,190,23,0.730175,231.6685
amos_0244,0.854389,0.854539,0.821685,0.889675,190,23,0.800202,84.5330
amos_0245,0.244310,0.237465,0.134024,0.424996,190,23,0.517655,75.1056
amos_0247,0.851531,0.851504,0.806733,0.885084,190,23,0.838904,190.6611
amos_0248,0.848385,0.858116,0.761555,0.944897,190,23,0.828575,182.2303
amos_0249,0.878388,0.878908,0.847934,0.903190,190,23,0.787187,196.5064
amos_0250,0.844498,0.845405,0.795694,0.886924,190,23,0.784984,204.0936
amos_0254,0.888335,0.889229,0.856181,0.917379,190,23,0.869092,200.5074
amos_0255,0.919358,0.920890,0.881939,0.947691,190,23,0.871280,125.2278
