case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0096,165.810,203.755,-37.945,27.945,22.737,5.208,34.557,21.765,12.791
s0098,23.112,43.328,-20.216,5.653,16.872,-11.219,2.606,14.131,-11.526
s0103,3.227,0.000,3.227,0.000,0.000,0.000,0.000,0.000,0.000
s0104,0.000,6.740,-6.740,5.343,12.575,-7.233,0.219,12.636,-12.417
s0106,123.056,131.156,-8.100,0.135,0.111,0.024,0.125,0.118,0.007
s0107,114.105,114.180,-0.074,21.441,20.999,0.442,36.426,20.142,16.284
s0108,86.802,70.494,16.308,68.837,23.949,44.888,31.688,23.436,8.252
s0109,132.961,112.364,20.598,23.082,14.958,8.124,21.094,18.741,2.352
s0117,31.310,68.317,-37.007,0.499,22.545,-22.045,1.613,20.675,-19.062
s0119,107.885,123.846,-15.960,25.930,20.358,5.572,19.366,20.419,-1.053
s0120,94.983,86.579,8.404,24.843,19.919,4.924,25.744,20.530,5.214
s0123,264.340,278.481,-14.141,1.684,0.000,1.684,0.003,0.000,0.003
s0124,295.144,291.364,3.780,55.772,39.636,16.136,64.020,45.114,18.907
s0131,22.953,51.482,-28.529,8.616,26.338,-17.722,0.847,22.096,-21.249
s0132,0.283,53.986,-53.703,0.000,0.000,0.000,0.000,0.000,0.000
s0133,105.108,106.353,-1.245,41.391,23.996,17.395,19.393,22.710,-3.318
s0137,83.889,75.374,8.515,19.659,16.139,3.520,21.630,15.694,5.937
s0139,36.298,31.330,4.968,25.880,12.140,13.740,14.472,12.552,1.920
s0141,223.374,229.017,-5.643,21.023,13.223,7.800,27.904,20.115,7.790
s0143,3.746,46.690,-42.944,3.389,18.424,-15.036,0.550,14.813,-14.263
s0145,431.723,467.130,-35.407,26.747,19.524,7.222,24.297,18.593,5.704
s0146,277.908,288.330,-10.422,0.000,0.000,0.000,0.000,0.000,0.000
s0151,74.966,83.609,-8.643,5.252,19.210,-13.959,5.781,22.154,-16.372
s0153,86.069,80.052,6.018,33.845,17.763,16.082,19.136,17.864,1.272
s0156,58.455,59.646,-1.191,0.000,0.000,0.000,0.000,0.000,0.000
s0157,69.174,59.275,9.899,21.465,10.959,10.506,8.346,10.189,-1.843
s0158,68.462,76.862,-8.400,38.458,22.656,15.802,21.573,21.772,-0.199
s0160,36.514,84.493,-47.979,0.290,0.000,0.290,0.000,0.000,0.000
s0161,72.009,61.901,10.108,37.500,22.420,15.080,23.173,21.661,1.512
s0162,243.854,268.913,-25.059,0.000,0.000,0.000,0.024,0.000,0.024
s0163,488.818,462.456,26.362,33.379,18.917,14.462,29.349,15.090,14.259
s0166,78.648,90.511,-11.863,34.391,10.047,24.344,12.329,9.450,2.879
s0171,329.711,373.370,-43.659,20.243,19.140,1.104,29.693,19.275,10.419
s0174,44.914,38.934,5.980,14.141,8.373,5.768,15.461,8.238,7.223
s0175,174.457,190.998,-16.541,0.155,0.000,0.155,0.202,0.000,0.202
s0178,90.413,83.147,7.266,22.636,16.335,6.301,26.716,14.958,11.758
s0182,123.667,109.303,14.364,35.120,23.487,11.634,17.344,20.199,-2.855
s0187,2.643,0.000,2.643,0.000,0.000,0.000,0.000,0.000,0.000
s0188,21.185,18.225,2.960,30.706,16.905,13.800,17.388,17.550,-0.162
s0190,70.929,45.677,25.252,24.243,9.855,14.388,18.775,9.700,9.075
s0192,36.453,36.301,0.152,5.214,9.696,-4.482,15.815,9.001,6.814
s0193,110.852,95.347,15.505,23.038,17.665,5.373,43.794,17.334,26.460
s0196,507.404,503.931,3.473,17.904,13.021,4.884,16.112,12.494,3.618
s0199,20.864,53.713,-32.849,0.000,0.000,0.000,0.000,0.000,0.000
s0201,0.061,31.020,-30.959,0.095,14.992,-14.897,0.132,12.535,-12.403
s0204,72.407,71.644,0.763,31.057,16.038,15.019,21.701,14.995,6.706
s0210,164.967,160.954,4.013,46.815,33.345,13.470,40.385,34.476,5.910
s0211,24.212,44.229,-20.017,0.000,0.000,0.000,0.000,0.000,0.000
s0216,7.833,7.057,0.776,9.727,8.066,1.660,11.509,8.262,3.247
s0218,38.894,61.196,-22.302,44.577,20.807,23.770,13.696,18.681,-4.985
s0222,107.156,96.461,10.695,0.000,0.000,0.000,0.000,0.000,0.000
s0224,239.527,249.720,-10.193,33.787,23.537,10.250,43.683,25.626,18.056
s0227,62.876,54.037,8.839,15.231,15.160,0.071,20.611,15.242,5.370
s0228,30.787,72.390,-41.604,1.394,14.475,-13.082,0.888,13.210,-12.322
s0235,54.466,44.267,10.199,23.156,11.580,11.576,6.878,11.704,-4.826
s0236,125.486,118.689,6.797,42.852,29.936,12.916,48.836,35.279,13.557
s0237,0.000,18.569,-18.569,0.000,0.000,0.000,0.000,0.000,0.000
s0238,50.298,39.454,10.844,17.057,7.320,9.737,20.945,7.395,13.551
s0239,870.824,824.074,46.750,40.250,23.584,16.666,24.361,26.912,-2.552
s0241,175.260,187.876,-12.616,0.000,0.000,0.000,0.000,0.000,0.000
s0242,2.865,32.224,-29.359,2.089,10.503,-8.414,0.000,10.861,-10.861
s0243,80.045,77.048,2.997,27.057,16.264,10.793,9.025,16.122,-7.098
s0244,117.750,110.011,7.739,43.956,34.756,9.200,47.466,35.009,12.457
s0245,76.430,71.428,5.002,2.953,0.013,2.940,0.857,0.000,0.857
s0246,162.344,16.075,146.269,5.285,0.219,5.066,3.294,0.931,2.362
s0247,50.406,46.774,3.632,0.000,0.000,0.000,0.000,0.000,0.000
s0248,103.589,87.406,16.183,19.210,20.665,-1.455,45.755,20.702,25.053
s0249,29.565,83.190,-53.625,0.000,0.000,0.000,0.000,0.000,0.000
s0250,218.295,164.943,53.352,49.653,19.929,29.724,37.020,23.183,13.838
s0252,28.269,49.413,-21.144,19.487,9.551,9.936,6.986,6.254,0.732
s0255,73.906,74.233,-0.327,22.923,14.158,8.765,13.304,13.868,-0.564
s0257,137.302,170.954,-33.652,17.418,18.603,-1.185,40.939,18.147,22.791
s0258,57.527,51.249,6.277,0.007,0.000,0.007,0.000,0.000,0.000
s0260,62.883,58.350,4.533,24.364,11.300,13.065,23.139,10.996,12.143
s0262,21.772,45.448,-23.676,0.000,0.000,0.000,0.000,0.000,0.000
s0275,84.746,100.332,-15.586,2.849,15.444,-12.595,0.425,16.301,-15.876
s0285,220.070,224.346,-4.276,0.246,0.000,0.246,0.010,0.000,0.010
s0286,205.062,185.811,19.251,13.027,12.791,0.236,4.236,7.867,-3.631
s0287,468.707,475.848,-7.142,104.709,42.029,62.680,59.680,43.956,15.724
s0291,77.676,70.504,7.172,36.153,16.284,19.869,25.529,16.767,8.762
s0298,0.000,62.707,-62.707,3.125,25.269,-22.143,2.052,23.841,-21.789
s0300,149.408,119.178,30.230,33.078,17.803,15.275,18.927,16.511,2.416
s0301,0.429,22.282,-21.853,0.624,23.031,-22.407,0.729,22.491,-21.762
s0304,18.286,79.842,-61.557,0.095,24.141,-24.047,4.593,22.386,-17.793
s0305,82.178,77.321,4.857,0.000,0.000,0.000,1.944,0.000,1.944
s0306,18.117,52.258,-34.141,3.294,18.890,-15.596,0.095,18.836,-18.741
s0307,68.462,60.726,7.736,13.132,9.264,3.868,36.767,8.846,27.921
s0308,253.645,271.445,-17.800,30.186,18.238,11.948,27.607,17.925,9.683
s0311,88.850,82.320,6.531,23.895,22.643,1.252,31.192,22.224,8.967
s0314,97.413,152.439,-55.026,4.131,12.710,-8.579,5.062,14.323,-9.261
s0319,205.197,180.559,24.638,30.723,20.469,10.253,23.922,22.559,1.364
s0320,123.397,188.197,-64.800,27.601,20.746,6.855,35.603,23.463,12.140
s0321,83.238,89.883,-6.645,19.005,16.024,2.980,12.950,15.238,-2.288
s0322,238.845,246.139,-7.293,0.000,0.000,0.000,0.000,0.000,0.000
s0324,30.007,58.705,-28.698,0.364,14.118,-13.753,0.230,11.617,-11.387
